X,Y,ID,NUM_TAV,NUMERO_UTE,COMUNE,VIA1_NOME,VIA1_CAMPO,INCROCIO,VIA2_NOME,VIA2_CAMPO,NOTE,CONSERVAZI,TUTTA_NOTT,REGOLATORE,DIFFERENZI,PROTEZIONE,TIPO_ACCEN,TELESEGNAL,MONOFASE,TRIFASE,CLASSEII,PORTATA,Long,Lat
18.1916245250305,40.3571066493189,162,26,734 502 669,Lecce,VIA,LUPIAE,,,,CIVICO 61,Adeguato,SI,STB21,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,32,2791046.77655000010,4472362.08442000020
18.1915927046569,40.3550572533466,163,26,734 496 600,Lecce,VIALE,ALDO MORO,,,,CIVICO 1,Adeguato,SI,STB36,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,53,2791052.28978000020,4472134.44582000000
18.2104621448316,40.3672263186613,164,26,734 508 411,Lecce,VIA,RAPOLLA,,,,,Adeguato,SI,STB36,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,53,2792606.00651999980,4473543.60536000040
18.2145562728189,40.3704626554626,165,26,895 674 052,Lecce,VIA,VICENZA,,,,,Adeguato,SI,SMHT 10K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,16,2792940.63389000020,4473915.57227000040
18.2152541119685,40.3636707801774,166,26,732 497 439,Lecce,VIA,CREMONA,,,,,Adeguato,SI,,SI,,Interruttore Crepuscolare,Assente,SI,,SI,9,2793111.00640999990,4473200.39957000040
18.2353847435873,40.3694011962497,167,27,734 465 429,Lecce,VIA,ANCONA,angolo,VIA,LATINA,,Adeguato,SI,SMHT 10K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,16,2794713.75113999980,4473862.27522000020
18.2378515182195,40.372780152617,168,27,734 111 457,Lecce,VIA,ARIANO IRPINO,angolo,VIA,MARSALA,,Adeguato,SI,STB16,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,25,2794909.49172999990,4474245.11170999990
18.2442591184336,40.3720553699266,169,27,703 293 409,Lecce,VIA,MARGHERITA DI PARMA,,,,,Adeguato,SI,STB11,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,17,2795456.57742000000,4474184.59884000010
18.2594702234926,40.3795919909271,170,21,734 465 437,Lecce,VIA,DEI NESPOLI,,,,,Adeguato,SI,SMHT 6K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,9,2796717.44365999990,4475068.92839000000
18.2606840879751,40.3796868747845,171,21,734 465 445,Lecce,VIA,PIAGGIA CARLO,,,,,Adeguato,SI,SMHT 6K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,9,2796820.12563000010,4475083.26685999990
18.2585955544326,40.3759132432579,172,27,719 653 961,Lecce,VIA,STEFANIZZI FERNANDO,,,,,,,,,,,,,,,,2796658.23963999980,4474657.73797000010
18.2687187271038,40.3838683887527,173,21,734 463 728,Lecce - San Cataldo,VIA,MALASPINA ANTONIO,,,,,Adeguato,SI,STB16,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,25,2797485.17782999990,4475572.75208000000
18.2702729924209,40.3916259104443,482,21,894 301 601,Lecce - San Cataldo,VIA.,LAMIA,,,KARL RITTER,PROV.SAN CATALDO TORRE VENERE,Adeguato,SI,,SI,SI,Crepuscolare,Assente,,SI,SI,17,2797583.25669100000,4476440.22120300030
18.2700625392763,40.3885366863646,175,21,734 273 422,Lecce - San Cataldo,VIA,PIZARRO FRANCESCO,,,,,Adeguato,SI,STB16,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,25,2797580.08711999980,4476095.29655999970
18.284428143163,40.3828361773499,176,22,734 465 453,Lecce - San Cataldo,VIA,UGOLINO VIVALDI,,,,,Adeguato,SI,SMHT 6K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,9,2798823.26476999980,4475507.62021999990
18.284890626017,40.3831051959939,177,22,890 762 735,Lecce - San Cataldo,VIA,ADORNO GIROLAMO,,,,,Adeguato,SI,SMHT 6K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,9,2798861.42233000000,4475538.94957999980
18.2841628014752,40.3803946351993,178,22,734 460 141,Lecce - San Cataldo,VIA,KEPLERO GIOVANNI,,,,,Adeguato,SI,STB11,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,17,2798810.81336000000,4475235.69742000010
18.2880774344022,40.3937672750069,179,22,890 564 163,Lecce - San Cataldo,VIA,DELLA PINETA,,,,MASSERIA RAMANNO,Adeguato,NO,SMHT 6K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,9,2799087.93609000000,4476732.83201999960
18.2869766608042,40.3842608960996,180,22,732 442 014,Lecce - San Cataldo,VIA,KEPLERO GIOVANNI,angolo,VIALE,COLOMBO CRISTOFORO,,Adeguato,SI,STB11,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,17,2799033.76698999990,4475673.85591000040
18.2898696998824,40.3832027849562,181,22,719 887 325,Lecce - San Cataldo,VIA,FERDINANDO MAGELLANO,,,,,Adeguato,SI,STB11,SI,SI,Astronomico - Crepuscolare,,,,SI,17,2799283.77821000010,4475565.51771000030
18.2899888304581,40.3804250374404,182,22,732 442 022,Lecce - San Cataldo,VIA,BELTRAMI COSTANTINO,,,,,Adeguato,SI,SMHT 3K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,"4,5",2799286.15927000020,4475238.12206000000
18.301345784107,40.371098766373,183,28,895 195 081,Lecce - San Cataldo,VIA,DELL' ASPARAGINA,,,,SULLA SAN CATALDO - SAN FOCA,Adeguato,SI,,SI,SI,Interruttore Crepuscolare,Assente,SI,,SI,9,2800308.40071000020,4474257.95474999960
18.2977684163357,40.3676823657232,184,28,703 003 079,Lecce - San Cataldo,VIA,DEL PRUGNOLO,,,,SULLA SAN CATALDO - SAN FOCA,Adeguato,SI,STB11,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,17,2800018.75865000020,4473867.28553999960
18.296475049959,40.3915901794606,185,22,734 471 666,Lecce - San Cataldo,VIA,CASTELLAMMARE,,,,,Adeguato,SI,STB36,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,53,2799809.86451999980,4476517.68350999990
18.296166514274,40.3911637460007,186,22,703 417 027,Lecce - San Cataldo,VIA,FLAVIO GIOIA,,,,NON ALIMENTA NESSUN IMPIANTO,,,,,,,,,,,,2799791.04863000010,4476499.51644000040
18.2928131519255,40.382884847672,187,22,734 274 232,Lecce - San Cataldo,VIA,BRIN BENEDETTO,,,,,Adeguato,SI,STB11,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,17,2799535.01427000020,4475539.52888999970
18.2979073777766,40.3938616155657,188,22,891 016 743,Lecce - San Cataldo,PIAZZETTA,EROI DEL MARE,,,,,Adeguato,SI,STB11,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,17,2799919.18740000020,4476762.72410000020
18.3026958822094,40.3901170533125,189,22,734 462 772,Lecce - San Cataldo,VIA,MARCO POLO,,,,,Adeguato,SI,STB26,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,40,2800344.10900999980,4476373.85180000030
18.2992391396003,40.3892625269536,190,22,734 472 069,Lecce - San Cataldo,VIA,BOTTEGO VITTORIO,,,,,Adeguato,SI,STB26,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,40,2800054.18055000020,4476268.00490000010
18.2999985859237,40.3878607980579,191,22,732 442 031,Lecce - San Cataldo,VIALE,COLOMBO CRISTOFORO,,,,,Adeguato,SI,STB45,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,68,2800025.03429999990,4476068.58320999980
18.3006246019871,40.3866229790526,192,22,734 461 253,Lecce - San Cataldo,VIA,CORFU',,,,,Da Revisionare,SI,STB21,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,32,2800187.54380000010,4475983.15785999970
18.3038330477773,40.3860994486408,193,22,734 472 476,Lecce - San Cataldo,VIA,VESPUCCI AMERIGO,,,,,Adeguato,SI,STB45,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,68,2800457.33833999980,4475931.38492000010
18.3043746174813,40.3835970568108,194,22,734 472 484,Lecce - San Cataldo,VIA,VESPUCCI AMERIGO,,,,OSTELLO,Adeguato,SI,STB11,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,17,2800513.71332000010,4475655.26257999990
