X,Y,LINEA,QUADRO,RECNO,PALO,ARMATURA,LAMPADA,indirizzo,Data_Attiv
18.195170866712388,40.464498506353493,C,50,2,Palo Verniciato Tipo Liguria,Nova,Sodio AP 150,Via Zefiro,
18.195153328913889,40.46423677781597,C,50,3,Palo Verniciato Tipo Liguria,Nova,Sodio AP 150,Via Zefiro,
18.195321941838813,40.464118616925191,C,50,4,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Dell'Edera,
18.195636175065953,40.463937721621576,C,50,5,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Dell'Edera,
18.195970319467509,40.463744533510869,C,50,6,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Dell'Edera,
18.194843933942618,40.46406259714152,C,50,7,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Del Leccio,
18.194387253055083,40.464074030327168,C,50,8,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Del Leccio,
18.194005932787128,40.464086978277678,C,50,9,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Del Leccio,
18.193373652245292,40.464094236542159,C,50,10,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Del Leccio,
18.195149845610363,40.463947264931441,C,50,11,Palo Verniciato Tipo Liguria,M 250 / R,Sodio AP 150,Via Zefiro,
18.195139020645442,40.463610991500438,C,50,12,Palo Verniciato Tipo Liguria,Nova,Sodio AP 150,Via Zefiro,
18.195364404720454,40.46339341881599,C,50,13,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Del Trifoglio,
18.195688869065737,40.463212240292997,C,50,14,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Del Trifoglio,
18.195993048120993,40.463035535916276,C,50,15,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Del Trifoglio,
18.19512037120165,40.463325811849323,C,50,16,Palo Conico Zincato 10,RC Luce,Sodio AP 100,Via Zefiro,
18.195106283129327,40.4630287650631,C,50,17,Palo Verniciato Tipo Liguria,M 250 / R,Sodio AP 150,Via Zefiro,
18.195244858110129,40.462817508037752,C,50,18,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Dell'Anice,
18.195649341446529,40.462594979179059,C,50,19,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Dell'Anice,
18.196053636645459,40.462368540489678,C,50,20,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Dell'Anice,
